filename,activity_label,decision_basis,notes
178_20260921023233.csv,0,accelerometer_data,Assigned as no_activity
179_20260921023243.csv,0,image,Assigned as no_activity
180_20260921023253.csv,0,accelerometer_data,Assigned as no_activity
181_20260921023303.csv,0,image,Assigned as no_activity
182_20260921023313.csv,0,accelerometer_data,Assigned as no_activity
183_20260921023323.csv,0,image,Assigned as no_activity
184_20260921023333.csv,0,image,Assigned as no_activity
185_20260921023343.csv,0,accelerometer_data,Assigned as no_activity
186_20260921023353.csv,0,image,Assigned as no_activity
187_20260921023403.csv,0,image,Assigned as no_activity
188_20260921023413.csv,0,accelerometer_data,Assigned as no_activity
189_20260921023423.csv,0,accelerometer_data,Assigned as no_activity
190_20260921023433.csv,-1,uncertain,Marked uncertain for later review
191_20260921023443.csv,1,image,Assigned as tilt
192_20260921023453.csv,1,image,Assigned as tilt
193_20260921023503.csv,1,image,Assigned as tilt
194_20260921023513.csv,1,image,Assigned as tilt
195_20260921023523.csv,1,image,Assigned as tilt
196_20260921023533.csv,1,image,Assigned as tilt
197_20260921023543.csv,1,image,Assigned as tilt
198_20260921023553.csv,1,image,Assigned as tilt
199_20260921023603.csv,1,image,Assigned as tilt
200_20260921023613.csv,1,image,Assigned as tilt
201_20260921023623.csv,1,image,Assigned as tilt
202_20260921023633.csv,1,image,Assigned as tilt
203_20260921023643.csv,1,image,Assigned as tilt
204_20260921023653.csv,1,image,Assigned as tilt
205_20260921023703.csv,1,image,Assigned as tilt
206_20260921023713.csv,1,image,Assigned as tilt
207_20260921023723.csv,1,image,Assigned as tilt
208_20260921023733.csv,1,image,Assigned as tilt
209_20260921023743.csv,1,image,Assigned as tilt
210_20260921023753.csv,1,image,Assigned as tilt
211_20260921023803.csv,1,image,Assigned as tilt
212_20260921023813.csv,1,image,Assigned as tilt
213_20260921023823.csv,1,image,Assigned as tilt
214_20260921023833.csv,1,image,Assigned as tilt
215_20260921023843.csv,1,accelerometer_data,Assigned as tilt
216_20260921023853.csv,1,accelerometer_data,Assigned as tilt
217_20260921023903.csv,1,image,Assigned as tilt
218_20260921023913.csv,1,image,Assigned as tilt
219_20260921023923.csv,1,image,Assigned as tilt
220_20260921023933.csv,1,image,Assigned as tilt
221_20260921023943.csv,1,accelerometer_data,Assigned as tilt
